City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,ribeira grande,38.5167,-28.7,77.4,73,40,14.97,PT,1723492398
145,nampula,-15.1165,39.2666,65.5,82,0,3.69,MZ,1723492398
146,constantia,44.1833,28.65,76.14,70,1,10.87,RO,1723492398
147,spruce grove,53.5334,-113.9187,82.74,41,0,9.22,CA,1723492265
148,yacuiba,-22.038,-63.6797,74.17,27,36,5.75,BO,1723492398
149,coquimbo,-29.9533,-71.3436,55.13,100,100,10.36,CL,1723492398
150,al kharijah,25.4514,30.5464,92.77,20,0,11.12,EG,1723492399
151,touros,-5.1989,-35.4608,78.24,77,12,11.52,BR,1723492399
152,cabo san lucas,22.8909,-109.9124,85.89,65,85,9.93,MX,1723492293
153,ust-nera,64.5667,143.2,52.59,95,71,4.07,RU,1723492399
154,berezovyy,51.6667,135.7,62.51,99,100,2.59,RU,1723492399
155,chamical,-30.36,-66.314,68.49,14,0,17.78,AR,1723492399
156,kashgar,39.4547,75.9797,83.41,28,40,13.42,CN,1723492399
157,sabang,5.8933,95.3214,82.67,74,98,6.8,ID,1723492399
158,flying fish cove,-10.4217,105.6791,76.68,78,100,12.66,CX,1723492399
159,spring creek,40.7266,-115.5859,85.71,17,100,8.01,US,1723492399
160,qaqortoq,60.7167,-46.0333,47.44,78,100,6.46,GL,1723492399
161,holly springs,35.6513,-78.8336,85.91,69,79,1.01,US,1723492155
162,san-pedro,4.7485,-6.6363,74.86,95,94,9.22,CI,1723492399
163,mezhdurechenskiy,59.6,65.9333,56.07,75,96,4.59,RU,1723492400
164,thinadhoo,0.5333,72.9333,82.04,77,100,20.38,MV,1723492400
165,katsuura,35.1333,140.3,80.46,92,6,7.99,JP,1723492400
166,ulsteinvik,62.3432,5.8487,63.75,76,100,1.99,NO,1723492400
167,el charco,2.4769,-78.1105,81.52,81,75,8.19,CO,1723492400
168,igarka,67.4667,86.5833,52.68,94,100,8.81,RU,1723492400
169,iskateley,67.6803,53.1512,44.73,89,99,11.34,RU,1723492400
170,pitimbu,-7.4706,-34.8086,77.58,79,3,8.19,BR,1723492400
171,dire dawa,9.5931,41.8661,74.23,66,84,13.91,ET,1723492400
172,arraial do cabo,-22.9661,-42.0278,69.76,56,0,19.57,BR,1723492400
173,haiku-pauwela,20.9219,-156.3051,84.16,67,40,17.27,US,1723492400
174,tralee,52.2704,-9.7026,60.58,79,43,10.87,IE,1723492400
175,shengli,37.4564,118.4856,79.36,76,0,2.91,CN,1723492400
176,tisul',55.7611,88.3122,51.6,91,71,3.38,RU,1723492400
177,puerto lempira,15.2667,-83.7667,83.26,82,98,9.04,HN,1723492175
178,kudahuvadhoo,2.6708,72.8944,79.34,86,100,21.88,MV,1723492400
179,ristiina,61.5058,27.2464,53.82,93,8,4.88,FI,1723492401
180,panauti,27.5814,85.5124,71.92,94,75,0.0,NP,1723492401
181,lincheng,19.9078,109.6858,81.1,85,100,4.83,CN,1723492401
182,griffith,41.5284,-87.4237,77.95,53,0,3.44,US,1723492401
183,sychevka,55.8252,34.2736,50.97,91,9,5.86,RU,1723492401
184,an nimas,19.1455,42.1201,65.32,75,50,2.51,SA,1723492401
185,rabo de peixe,37.8,-25.5833,72.91,73,20,12.66,PT,1723492401
186,vadso,70.0744,29.7487,51.96,93,0,8.05,NO,1723492401
187,mount isa,-20.7333,139.5,58.77,67,0,5.75,AU,1723492401
188,pandan,14.0453,124.1694,81.18,84,88,5.64,PH,1723492401
189,tahe,52.3333,124.7333,58.32,82,0,2.68,CN,1723492401
190,aksu,41.1231,80.2644,73.04,51,100,9.71,CN,1723492401
191,kazlu ruda,54.7667,23.5,54.59,87,0,7.99,LT,1723492401
192,kasane,-17.8167,25.15,66.16,17,0,3.0,BW,1723492401
193,ngambe,4.2333,10.6167,69.13,99,100,2.71,CM,1723492401
194,new norfolk,-42.7826,147.0587,47.48,80,100,3.53,AU,1723492401
195,acapulco de juarez,16.8634,-99.8901,80.01,78,91,3.89,MX,1723492401
196,shalazhi,43.0978,45.3608,73.09,62,100,6.22,RU,1723492402
197,takoradi,4.8845,-1.7554,75.29,91,23,9.62,GH,1723492402
198,dryden,49.7833,-92.7503,79.09,44,20,12.66,CA,1723492402
199,rongelap,11.1635,166.8941,83.05,76,100,8.72,MH,1723492402
200,alice springs,-23.7,133.8833,42.35,81,0,0.0,AU,1723492402
201,aioun,16.6614,-9.6149,94.71,37,86,6.82,MR,1723492402
202,bredasdorp,-34.5322,20.0403,50.14,86,100,3.56,ZA,1723492402
203,zamora,-4.0692,-78.9567,74.17,78,51,4.81,EC,1723492402
204,boguchany,58.3814,97.4531,53.22,92,15,1.99,RU,1723492402
205,saint-francois,46.4154,3.9054,78.24,70,1,0.0,FR,1723492135
206,tazovsky,67.4667,78.7,51.48,99,100,4.81,RU,1723492402
207,dolzhanskaya,46.6311,37.8039,77.38,44,0,13.69,RU,1723492402
208,axim,4.8699,-2.2405,75.81,91,37,9.19,GH,1723492402
209,remire-montjoly,4.9167,-52.2667,89.64,62,0,13.8,GF,1723492402
210,kirensk,57.7853,108.1119,59.67,85,99,3.29,RU,1723492402
211,shamva,-17.3116,31.5756,62.73,25,0,3.11,ZW,1723492403
212,novodvinsk,64.4165,40.8122,56.98,70,43,5.06,RU,1723492403
213,afua,-0.1567,-50.3867,87.98,58,67,8.37,BR,1723492403
214,lensk,60.7253,114.9278,63.52,93,90,4.99,RU,1723492403
215,general conesa,-40.1,-64.4333,67.42,20,52,20.54,AR,1723492403
216,yelizovo,53.1873,158.3805,53.74,100,75,2.24,RU,1723492403
217,sassandra,4.95,-6.0833,74.59,95,93,9.78,CI,1723492403
218,chimoio,-19.1164,33.4833,71.46,60,0,3.09,MZ,1723492403
219,banamba,13.55,-7.45,79.68,77,100,8.01,ML,1723492403
220,bijrauni,24.9167,77.6333,76.86,92,78,6.8,IN,1723492403
221,randudongkal,-7.0981,109.3243,66.36,84,21,3.94,ID,1723492403
222,mojo,8.6,39.1167,62.51,90,95,4.63,ET,1723492403
223,nueva villa de padilla,24.0167,-98.7833,95.18,42,77,8.88,MX,1723492403
224,st. john's,47.5649,-52.7093,77.27,65,75,23.02,CA,1723492344
225,hithadhoo,-0.6,73.0833,82.08,78,100,16.35,MV,1723492404
226,bel ombre,-4.6167,55.4167,78.64,83,40,17.27,SC,1723492404
227,la libertad,-2.2333,-80.9,76.66,73,75,10.36,EC,1723492404
228,geraldton,-28.7667,114.6,50.41,93,0,8.05,AU,1723492404
229,khalkhal,37.6189,48.5258,63.19,81,4,5.73,IR,1723492404
230,key west,24.5557,-81.7826,91.4,66,20,10.36,US,1723492404
231,san juan,-31.5375,-68.5364,72.28,11,1,7.99,AR,1723492232
232,belmonte,-15.8631,-38.8828,76.66,81,0,9.66,BR,1723492404
233,petrove,48.3247,33.2562,62.74,40,2,3.0,UA,1723492404
234,necochea,-38.5473,-58.7368,51.13,58,17,4.59,AR,1723492404
235,zungeru,9.8128,6.1558,74.91,96,100,3.98,NG,1723492404
236,bengkulu,-3.8004,102.2655,73.65,91,99,7.87,ID,1723492404
237,scottburgh,-30.2867,30.7532,63.14,75,100,7.61,ZA,1723492405
238,lebu,-37.6167,-73.65,52.0,74,100,11.12,CL,1723492405
239,nova sintra,14.8667,-24.7167,80.74,80,23,7.63,CV,1723492224
240,eirunepe,-6.6603,-69.8736,95.59,27,19,5.26,BR,1723492405
241,markovo,57.3206,107.0881,58.28,92,95,3.04,RU,1723492405
242,chernyshevsk,52.5243,117.0174,65.16,53,24,1.36,RU,1723492405
243,tamanrasset,22.785,5.5228,85.91,32,40,16.11,DZ,1723492405
244,merizo village,13.2658,144.6691,77.38,95,89,6.78,GU,1723492405
245,balqash,46.8481,74.995,71.26,57,0,10.02,KZ,1723492405
246,irymple,-34.25,142.1667,48.09,77,0,10.47,AU,1723492405
247,vidyayevo,69.3191,32.8049,56.68,82,100,5.17,RU,1723492405
248,hermanus,-34.4187,19.2345,54.37,84,100,6.38,ZA,1723492405
249,la sarre,48.8002,-79.1996,75.85,38,100,9.64,CA,1723492405
250,ondjiva,-17.0667,15.7333,66.51,12,0,7.87,AO,1723492405
251,'alaqahdari dishu,30.4374,63.313,94.41,10,4,7.78,AF,1723492406
252,tecuala,22.3986,-105.4569,90.05,64,93,8.3,MX,1723492406
253,greenville,35.6127,-77.3663,82.13,82,100,8.05,US,1723492136
254,otaki,-40.7583,175.15,44.94,76,10,5.01,NZ,1723492406
255,bom sucesso,-21.0331,-44.7581,69.89,15,100,10.11,BR,1723492406
256,papatowai,-46.5619,169.4708,39.22,91,26,7.9,NZ,1723492406
257,victorica,-36.2151,-65.4359,66.25,20,5,20.49,AR,1723492406
258,baker city,44.7749,-117.8344,82.11,26,2,5.75,US,1723492129
259,frenda,35.0654,1.0495,78.84,40,3,3.65,DZ,1723492406
260,tymovskoye,50.8456,142.655,57.2,97,73,1.95,RU,1723492406
261,de witt,41.8234,-90.5382,78.73,57,0,0.0,US,1723492406
262,howrah,22.5892,88.3103,84.2,89,40,4.61,IN,1723492406
263,anadyr,64.75,177.4833,52.3,76,75,15.66,RU,1723492406
264,papayal,-4.0761,-80.7361,82.49,53,38,8.57,PE,1723492406
265,derzhavinsk,51.1,66.3167,68.74,49,30,12.73,KZ,1723492406
266,sandnessjoen,66.0217,12.6316,57.42,94,75,2.3,NO,1723492406
267,madison,34.7334,-86.5667,86.95,47,0,6.91,US,1723492407
268,olonkinbyen,70.9221,-8.7187,41.07,91,100,12.15,SJ,1723492407
269,nemuro,43.3236,145.575,64.76,100,100,8.16,JP,1723492407
270,kingston,17.997,-76.7936,90.55,62,40,18.41,JM,1723492233
271,aegina,37.7467,23.4275,83.01,59,0,14.32,GR,1723492407
272,labytnangi,66.6572,66.4183,55.47,80,100,10.63,RU,1723492407
273,quibdo,5.6947,-76.6611,75.54,100,75,5.75,CO,1723492407
274,tofol,5.3248,163.0078,83.03,73,97,9.57,FM,1723492407
275,port alfred,-33.5906,26.891,57.69,70,100,8.66,ZA,1723492407
276,waldmunchen,49.3786,12.7042,70.92,76,52,1.79,DE,1723492407
277,gadzhiyevo,69.2551,33.3362,60.22,75,100,5.32,RU,1723492407
278,tommot,58.9564,126.2925,63.19,73,17,2.57,RU,1723492407
279,kodinsk,58.6881,99.1844,52.79,92,10,3.2,RU,1723492407
280,nelson bay,-32.7167,152.15,62.11,89,78,17.0,AU,1723492407
281,maracacume,-2.0428,-45.9592,85.95,57,97,7.96,BR,1723492408
